subj_id,subj_flag,101,106,114,119,121,14,150,163,30,33,35,38,42,53,55,59,65,67,83,95
2,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
3,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
4,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
6,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
7,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
14,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
15,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
19,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
20,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
26,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
29,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
30,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
32,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
36,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
38,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
39,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
40,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
41,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
45,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
46,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
47,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
