subj_id,101,106,114,119,121,14,150,163,30,33,35,38,42,53,55,59,65,67,83,95
2,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0
3,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
4,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
6,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
7,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
14,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1
15,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1
19,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
20,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0
26,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1
29,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1
30,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1
36,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
38,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0
39,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0
40,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0
41,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0
45,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0
46,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0
47,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1
48,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0
49,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0
50,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0
51,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0
53,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1
54,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0
56,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
57,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0
59,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
66,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1
78,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0
80,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1
86,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0
97,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1
98,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1
103,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0
104,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1
107,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0
114,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0
122,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
123,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
124,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0
128,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0
136,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1
137,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
138,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0
141,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1
150,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1
153,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1
161,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1
162,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1
164,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1
167,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0
170,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1
172,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1
174,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0
